Entity,Code,Year,Life expectancy
Americas,,1900,41
Argentina,ARG,1900,39
Asia,,1900,28
Belarus,BLR,1900,36
Belgium,BEL,1900,47
Bolivia,BOL,1900,26
Brazil,BRA,1900,29
Bulgaria,BGR,1900,40
Chile,CHL,1900,29
Colombia,COL,1900,29
Costa Rica,CRI,1900,32
Cuba,CUB,1900,32
Czechia,CZE,1900,40
Denmark,DNK,1900,52
Estonia,EST,1900,43
Europe,,1900,43
Finland,FIN,1900,42
France,FRA,1900,45
Guatemala,GTM,1900,24
Hungary,HUN,1900,37
Iceland,ISL,1900,47
Italy,ITA,1900,42
Jamaica,JAM,1900,38
Japan,JPN,1900,39
Kazakhstan,KAZ,1900,28
Lithuania,LTU,1900,42
Mexico,MEX,1900,25
Netherlands,NLD,1900,48
Norway,NOR,1900,53
Oceania,,1900,48
Paraguay,PRY,1900,25
Russia,RUS,1900,30
Spain,ESP,1900,35
Sweden,SWE,1900,52
Switzerland,CHE,1900,47
Ukraine,UKR,1900,37
United Kingdom,GBR,1900,46
Uruguay,URY,1900,49
Venezuela,VEN,1900,28
World,OWID_WRL,1900,32
